paperid,referenceids,date,title
218316942,[],2017-01-01,"2017.01.024. АВТОМАТИЧЕСКИЙ БИБЛИОМЕТРИЧЕСКИЙ АНАЛИЗ С ИСПОЛЬЗОВАНИЕМ TAVERNA - ПРОГРАММЫ ОБРАБОТКИ ПОТОКА НАУЧНОЙ ИНФОРМАЦИИ / ГУЛЕР А.Т., ВАЙЕР К.ДЖ.Ф., МОХАМЕД Й., ПАЛМБЛАД М. AUTOMATING BIBLIOMETRIC ANALYSES USING TAVERNA SCIENTIFIC WORKFLOW: A TUTORIAL ON INTEGRATING WEB SERVICES / GULER A.T., WAAIJER C.J.F., MOHAMMED Y., PALMBLAD M. // JOURNAL OF INFORMETRICS. - 2016. - N 10. - P. 830-841"
322617488,"[498219281, 135246219, 75510678, 398351825, 336249206, 341713138]",2019-09-01,Models of parenting and its effect on academic productivity: Preliminary results from an international survey
288735377,"[316985308, 51856113, 247336221, 260528869, 404982927, 35723970, 189249869, 469647676, 23047959, 317661553, 301014343, 33464928]",2011-08-01,Supposed steep increase in publications on cruciate ligament and other topics
110608531,[],2013-05-24,Evolução histórica de investigação em informetria: ponto de vista espanhol │ Historical evolution of research in informetrics: a spanish view
449704090,"[433020115, 140601818, 406783001, 377152343, 489820228, 67707473, 374719737, 35723970, 470668495, 76511007, 34482333, 79598192, 76653292, 71543942, 377140177, 38865799, 368090524, 367442227, 469330396, 403889021, 122772984]",2010-10-01,Geographic characteristics of the growth of informetrics literature 1987–2008
138301599,[],2019-03-29,Bibliyometriye Eleştirel Bir Bakış
340910254,[],2019-10-08,User interaction with online information resources: an informetrics approach
17793202,"[163973882, 223980646, 256961184, 230433111, 202433535, 485244554, 347308989, 142510210]",2002-01-01,Web informetrics: extending classical informetrics to the Web
297083059,[],2004-01-01,Evaluation of the investment risk of high tech projects based on the neural network model
273354941,[],1998-01-01,The use of informetrics for identifying the scope of the basic terminology related to indexing and retrieval
286888137,"[321872872, 148755628, 460324503, 109357306, 129422991, 472584233, 247359002, 145073746, 76431453, 461449876, 487810218, 17347556]",2012-10-01,Jazz discometrics – A network approach
380133578,[],2019-09-02,"Catholic Universities in Spain, Latin America and the Caribbean: Towards an Observatory for the Scientific Evaluation of Catholic Universities (OECUC)"
6979788,"[301416796, 52901208, 189754884, 298122904]",2000-06-01,Using Education Indexes To Map Research Trends.
393285846,[],1991-01-01,"Informetrics 89/90. Proceedings of the second international Conference on Bibliometrics, Scientometrics and Informetrics London"
36085976,"[450394429, 457198477, 363233960, 227311857, 34402947, 74757997, 237694207, 204167224, 399124684]",2021-01-01,Mapping the Research Output of Journal of Social Sciences and Humanities (JSSH): A Bibliometric Study
22843609,[],2018-01-01,Applied Evaluative Informetrics.
302043358,[],2005-01-01,BASIC THEORY OF LOTKAIAN INFORMETRICS
154763489,"[399952510, 170045888, 474274076, 377152343, 400291083, 444141801, 283692201, 40736468, 460275406, 115268332, 375966784, 380716398, 169247791, 38578312]",2015-01-01,Library Trends Journal: A Bibliometric Study
498675937,"[493710673, 413310489, 221299926, 349811161, 369678842, 55378371, 321939152, 52726731, 476775675, 208751479, 284448617, 223980646, 473902737, 465573305, 278649574, 438146525, 467627392, 31958086, 203988762, 40413150, 132015733, 34234271, 314669122, 230433111, 429546206, 484273042, 300068081, 210494349, 437752508, 71896014, 151284321, 109455616, 362805784, 477825739, 42673719, 483328980, 325267019, 392204719, 275815363, 453655226, 309026446, 114301517, 360515736, 450394429, 342840518, 88588018, 181813905, 254099374, 142184162, 123922347, 98600116, 99455386, 249834239, 356648023, 202023713, 211962238, 200086642, 288389459, 342281193, 496420873]",1998-05-01,Models for power law relations in linguistics and information science
